,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month, funded_quarter ,funded_year, raised_amount_usd ,Unnamed: 16
56322,/organization/practice-fusion,Practice Fusion,|Physicians|Electronic Health Records|Health Care|Health and Wellness|,Health and Wellness,USA,CA,SF Bay Area,San Francisco,/funding-round/248934b66d67791bc9b82b9e827a77b1,venture,,2012-01-11,2012-01, 2012-Q1 ,2012.0," 2,000,000 ",
55999,/organization/popup,PopUp,|Location Based Services|Mobile|Social Media|,Mobile,USA,NC,Raleigh,Durham,/funding-round/4db85aa8bd458507875f2376379feeaf,seed,,2012-09-01,2012-09, 2012-Q3 ,2012.0," 181,000 ",
46664,/organization/motify,motify,|Self Development|Task Management|Curated Web|,Self Development,UKR,,Kiev,Kyiv,/funding-round/b536da460361f0927ee412fb29ebf366,seed,,2012-09-24,2012-09, 2012-Q3 ,2012.0," 20,000 ",
27630,/organization/frugalo,Frugalo,|Curated Web|,Curated Web,USA,WA,Seattle,Bellevue,/funding-round/b8dc6226d3ac64eb0c903c2363d7ab0d,seed,,2011-10-01,2011-10, 2011-Q4 ,2011.0," 140,000 ",
77217,/organization/vascular-pathways,Vascular Pathways,|Biotechnology|,Biotechnology,USA,FL,"Naples, Florida",Naples,/funding-round/bc31346a240deb80c6b7a1c8a5933ef0,debt_financing,,2014-06-24,2014-06, 2014-Q2 ,2014.0," 5,000,000 ",
24544,/organization/evogen,Evogen,|Security|,Security,USA,MO,Kansas City,Kansas City,/funding-round/5964b3966fcc60c5e7d75aca494680d8,venture,,2014-02-19,2014-02, 2014-Q1 ,2014.0," 852,420 ",
40562,/organization/lifelock,LifeLock,|Technology|Security|,Technology,USA,AZ,Phoenix,Tempe,/funding-round/a4d73a9eba1671c9f53fbfb221733aad,venture,D,2009-08-05,2009-08, 2009-Q3 ,2009.0," 40,000,000 ",
61717,/organization/rubicon-2,Rubicon,,,,,,,/funding-round/4d7b018c183999781bae0f191464f0f8,undisclosed,,2008-12-18,2008-12, 2008-Q4 ,2008.0,,
4803,/organization/appbackr,appbackr,|App Stores|Developer Tools|Finance|Android|iOS|Startups|Apps|Mobile|,Developer Tools,USA,CA,SF Bay Area,Palo Alto,/funding-round/b07c044e1b5484ebed9f802e20ee1935,seed,,2011-03-15,2011-03, 2011-Q1 ,2011.0," 487,500 ",
3463,/organization/allin-corporation,Allin corporation,,,USA,PA,Pittsburgh,Pittsburgh,/funding-round/bd2c8c29a8a161ab8cf84d697e4f4585,venture,,2014-06-20,2014-06, 2014-Q2 ,2014.0," 3,000,000 ",
