,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year, price_amount ,price_currency_code
2143,/organization/cena-plus,Cena Plus,|Online Reservations|Curated Web|,Online Reservations,ARG,,Buenos Aires,Buenos Aires,/organization/restorando,Restorando,|Curated Web|,Curated Web,ARG,,Buenos Aires,Buenos Aires,2011-12-14,2011-12,2011-Q4,2011.0,,USD
28419,,,,,,,,,,,,,,,,,,,,,,
29485,,,,,,,,,,,,,,,,,,,,,,
18828,,,,,,,,,,,,,,,,,,,,,,
33012,,,,,,,,,,,,,,,,,,,,,,
28787,,,,,,,,,,,,,,,,,,,,,,
52509,,,,,,,,,,,,,,,,,,,,,,
14111,,,,,,,,,,,,,,,,,,,,,,
42585,,,,,,,,,,,,,,,,,,,,,,
55061,,,,,,,,,,,,,,,,,,,,,,
34776,,,,,,,,,,,,,,,,,,,,,,
28117,,,,,,,,,,,,,,,,,,,,,,
19019,,,,,,,,,,,,,,,,,,,,,,
49977,,,,,,,,,,,,,,,,,,,,,,
52463,,,,,,,,,,,,,,,,,,,,,,
49255,,,,,,,,,,,,,,,,,,,,,,
14368,,,,,,,,,,,,,,,,,,,,,,
35996,,,,,,,,,,,,,,,,,,,,,,
55112,,,,,,,,,,,,,,,,,,,,,,
13813,,,,,,,,,,,,,,,,,,,,,,
3912,/organization/erly,Erly,|Social Media|,Social Media,USA,CA,SF Bay Area,Palo Alto,/organization/airtime,Airtime,|Video on Demand|Messaging|Social Media|Video|Video Chat|Photography|,Messaging,USA,NY,New York City,New York,2012-05-23,2012-05,2012-Q2,2012.0,,USD
38160,,,,,,,,,,,,,,,,,,,,,,
23751,,,,,,,,,,,,,,,,,,,,,,
19680,,,,,,,,,,,,,,,,,,,,,,
50801,,,,,,,,,,,,,,,,,,,,,,
41154,,,,,,,,,,,,,,,,,,,,,,
40160,,,,,,,,,,,,,,,,,,,,,,
55155,,,,,,,,,,,,,,,,,,,,,,
4693,/organization/get-grouby,Get Grouby,,,,,,,/organization/crowdsavings,CrowdSavings.com,|Social Buying|Group Buying|E-Commerce|,E-Commerce,USA,FL,Tampa,Tampa,2011-07-18,2011-07,2011-Q3,2011.0,,USD
43303,,,,,,,,,,,,,,,,,,,,,,
27268,,,,,,,,,,,,,,,,,,,,,,
531,/organization/alanco-technologies,Alanco Technologies,|Intellectual Asset Management|Transportation|,Transportation,USA,AZ,Phoenix,Scottsdale,/organization/yuuzoo-corporation,YuuZoo Corporation,|Mobile|Mobile Payments|Advertising|,Mobile,SGP,,Singapore,Singapore,2011-06-29,2011-06,2011-Q2,2011.0,,USD
41440,,,,,,,,,,,,,,,,,,,,,,
50536,,,,,,,,,,,,,,,,,,,,,,
1758,/organization/brighter-option,Brighter Option,|Social Media|Social Games|Advertising|,Advertising,GBR,,London,London,/organization/buddymedia,Salesforce Buddy Media,|Social Network Media|Social Media Marketing|Apps|SaaS|Software|Media|Social Media|Facebook Applications|Enterprise Software|,Social Network Media,USA,NY,New York City,New York,2012-02-27,2012-02,2012-Q1,2012.0,,USD
1041,/organization/assured-decisions,Assured Decisions,|Security|,Security,USA,MD,Baltimore,Columbia,/organization/safenet,SafeNet,|Security|,Security,USA,MD,Baltimore,Belcamp,2009-12-23,2009-12,2009-Q4,2009.0,,USD
39429,,,,,,,,,,,,,,,,,,,,,,
